2025/11/29 14:39:31 scraper.go:112: 🚀 Starting scraper with config: EventID=25_nctdream, TicketID=, Filter=
2025/11/29 14:39:31 scraper.go:112: === Iteration 1/1 ===
2025/11/29 14:39:31 scraper.go:112: 🔍 Monitoring event page for available tickets...
2025/11/29 14:39:31 scraper.go:112: 🔍 Monitoring event page: https://tixcraft.com/activity/game/25_nctdream
2025/11/29 14:39:36 scraper.go:112: ❌ Error monitoring page: context canceled
2025/11/29 14:39:36 scraper.go:112: ❌ Error monitoring page: context canceled
2025/11/29 14:39:36 scraper.go:112: ❌ Error monitoring page: context canceled
2025/11/29 14:39:36 scraper.go:112: ❌ Error monitoring page: context canceled
2025/11/29 14:39:36 scraper.go:112: ❌ Error monitoring page: context canceled
2025/11/29 14:39:36 scraper.go:112: ❌ Error monitoring page: context canceled
2025/11/29 14:39:36 scraper.go:112: ❌ Error monitoring page: context canceled
2025/11/29 14:39:36 scraper.go:112: ❌ Error monitoring page: context canceled
2025/11/29 14:39:36 scraper.go:112: ❌ Error monitoring page: context canceled
2025/11/29 14:39:36 scraper.go:112: ❌ Error monitoring page: context canceled
2025/11/29 14:39:36 scraper.go:112: ❌ Error monitoring page: context canceled
2025/11/29 14:39:36 scraper.go:112: ❌ Error monitoring page: context canceled
2025/11/29 14:39:36 scraper.go:112: ❌ Error monitoring page: context canceled
2025/11/29 14:39:36 scraper.go:112: ❌ Error monitoring page: context canceled
2025/11/29 14:39:36 scraper.go:112: ❌ Error monitoring page: context canceled
2025/11/29 14:39:36 scraper.go:112: ❌ Error monitoring page: context canceled
2025/11/29 14:39:36 scraper.go:112: ❌ Error monitoring page: context canceled
2025/11/29 14:39:36 scraper.go:112: ❌ Error monitoring page: context canceled
2025/11/29 14:39:36 scraper.go:112: ❌ Error monitoring page: context canceled
2025/11/29 14:39:36 scraper.go:112: ❌ Error monitoring page: context canceled
2025/11/29 14:39:36 scraper.go:112: ❌ Error monitoring page: context canceled
2025/11/29 14:39:36 scraper.go:112: ❌ Error monitoring page: context canceled
2025/11/29 14:39:36 scraper.go:112: ❌ Error monitoring page: context canceled
2025/11/29 14:39:36 scraper.go:112: ❌ Error monitoring page: context canceled
2025/11/29 14:39:36 scraper.go:112: ❌ Error monitoring page: context canceled
2025/11/29 14:39:36 scraper.go:112: ❌ Error monitoring page: context canceled
2025/11/29 14:39:36 scraper.go:112: ❌ Error monitoring page: context canceled
2025/11/29 14:39:36 scraper.go:112: ❌ Error monitoring page: context canceled
2025/11/29 14:39:36 scraper.go:112: ❌ Error monitoring page: context canceled
2025/11/29 14:39:36 scraper.go:112: ❌ Error monitoring page: context canceled
2025/11/29 14:39:36 scraper.go:112: ❌ Error monitoring page: context canceled
2025/11/29 14:39:36 scraper.go:112: ❌ Error monitoring page: context canceled
2025/11/29 14:39:36 scraper.go:112: ❌ Error monitoring page: context canceled
2025/11/29 14:39:36 scraper.go:112: ❌ Error monitoring page: context canceled
2025/11/29 14:39:36 scraper.go:112: ❌ Error monitoring page: context canceled
2025/11/29 14:39:36 scraper.go:112: ❌ Error monitoring page: context canceled
2025/11/29 14:39:36 scraper.go:112: ❌ Error monitoring page: context canceled
2025/11/29 14:39:36 scraper.go:112: ❌ Error monitoring page: context canceled
2025/11/29 14:39:36 scraper.go:112: ❌ Error monitoring page: context canceled
2025/11/29 14:39:36 scraper.go:112: ❌ Error monitoring page: context canceled
2025/11/29 14:39:36 scraper.go:112: ❌ Error monitoring page: context canceled
2025/11/29 14:39:36 scraper.go:112: ❌ Error monitoring page: context canceled
2025/11/29 14:39:36 scraper.go:112: ❌ Error monitoring page: context canceled
2025/11/29 14:39:36 scraper.go:112: ❌ Error monitoring page: context canceled
2025/11/29 14:39:36 scraper.go:112: ❌ Error monitoring page: context canceled
2025/11/29 14:39:36 scraper.go:112: ❌ Error monitoring page: context canceled
2025/11/29 14:39:36 scraper.go:112: ❌ Error monitoring page: context canceled
