2025/11/29 17:56:44 scraper.go:111: 🚀 Starting scraper with config: EventID=25_nctdream, TicketID=, Filter=
2025/11/29 17:56:44 scraper.go:111: 🔄 Loop mode: Running 4 iterations
2025/11/29 17:56:44 scraper.go:111: === Iteration 1/4 ===
2025/11/29 17:56:44 scraper.go:111: 🔍 Monitoring event page for available tickets...
2025/11/29 17:56:44 scraper.go:111: 🔍 Monitoring event page: https://tixcraft.com/activity/game/25_nctdream
2025/11/29 17:56:44 scraper.go:111: ❌ Error monitoring page: invalid context
2025/11/29 17:56:44 scraper.go:111: ❌ Error monitoring page: invalid context
2025/11/29 17:56:44 scraper.go:111: ❌ Error monitoring page: invalid context
2025/11/29 17:56:44 scraper.go:111: ❌ Error monitoring page: invalid context
2025/11/29 17:56:44 scraper.go:111: ❌ Error monitoring page: invalid context
2025/11/29 17:56:44 scraper.go:111: ❌ Error monitoring page: invalid context
2025/11/29 17:56:44 scraper.go:111: ❌ Error monitoring page: invalid context
2025/11/29 17:56:44 scraper.go:111: ❌ Error monitoring page: invalid context
2025/11/29 17:56:44 scraper.go:111: ❌ Error monitoring page: invalid context
2025/11/29 17:56:44 scraper.go:111: ❌ Error monitoring page: invalid context
2025/11/29 17:56:44 scraper.go:111: ❌ Error monitoring page: invalid context
2025/11/29 17:56:44 scraper.go:111: ❌ Error monitoring page: invalid context
2025/11/29 17:56:44 scraper.go:111: ❌ Error monitoring page: invalid context
2025/11/29 17:56:44 scraper.go:111: ❌ Error monitoring page: invalid context
2025/11/29 17:56:44 scraper.go:111: ❌ Error monitoring page: invalid context
2025/11/29 17:56:44 scraper.go:111: ❌ Error monitoring page: invalid context
2025/11/29 17:56:44 scraper.go:111: ❌ Error monitoring page: invalid context
2025/11/29 17:56:44 scraper.go:111: ❌ Error monitoring page: invalid context
2025/11/29 17:56:44 scraper.go:111: ❌ Error monitoring page: invalid context
2025/11/29 17:56:44 scraper.go:111: ❌ Error monitoring page: invalid context
2025/11/29 17:56:44 scraper.go:111: ❌ Error monitoring page: invalid context
2025/11/29 17:56:44 scraper.go:111: ❌ Error monitoring page: invalid context
2025/11/29 17:56:44 scraper.go:111: ❌ Error monitoring page: invalid context
2025/11/29 17:56:44 scraper.go:111: ❌ Error monitoring page: invalid context
2025/11/29 17:56:44 scraper.go:111: ❌ Error monitoring page: invalid context
2025/11/29 17:56:44 scraper.go:111: ❌ Error monitoring page: invalid context
2025/11/29 17:56:44 scraper.go:111: ❌ Error monitoring page: invalid context
2025/11/29 17:56:44 scraper.go:111: ❌ Error monitoring page: invalid context
2025/11/29 17:56:44 scraper.go:111: ❌ Error monitoring page: invalid context
2025/11/29 17:56:44 scraper.go:111: ❌ Error monitoring page: invalid context
2025/11/29 17:56:44 scraper.go:111: ❌ Error monitoring page: invalid context
2025/11/29 17:56:44 scraper.go:111: ❌ Error monitoring page: invalid context
2025/11/29 17:56:44 scraper.go:111: ❌ Error monitoring page: invalid context
2025/11/29 17:56:44 scraper.go:111: ❌ Error monitoring page: invalid context
2025/11/29 17:56:44 scraper.go:111: ❌ Error monitoring page: invalid context
2025/11/29 17:56:44 scraper.go:111: ❌ Error monitoring page: invalid context
2025/11/29 17:56:44 scraper.go:111: ❌ Error monitoring page: invalid context
2025/11/29 17:56:44 scraper.go:111: ❌ Error monitoring page: invalid context
2025/11/29 17:56:44 scraper.go:111: ❌ Error monitoring page: invalid context
2025/11/29 17:56:44 scraper.go:111: ❌ Error monitoring page: invalid context
2025/11/29 17:56:44 scraper.go:111: ❌ Error monitoring page: invalid context
2025/11/29 17:56:44 scraper.go:111: ❌ Error monitoring page: invalid context
2025/11/29 17:56:44 scraper.go:111: ❌ Error monitoring page: invalid context
2025/11/29 17:56:44 scraper.go:111: ❌ Error monitoring page: invalid context
2025/11/29 17:56:44 scraper.go:111: ❌ Error monitoring page: invalid context
2025/11/29 17:56:44 scraper.go:111: ❌ Error monitoring page: invalid context
2025/11/29 17:56:44 scraper.go:111: ❌ Error monitoring page: invalid context
2025/11/29 17:56:44 scraper.go:111: ❌ Error monitoring page: invalid context
2025/11/29 17:56:44 scraper.go:111: ❌ Error monitoring page: invalid context
2025/11/29 17:56:44 scraper.go:111: ❌ Error monitoring page: invalid context
2025/11/29 17:56:44 scraper.go:111: ❌ Error monitoring page: invalid context
2025/11/29 17:56:44 scraper.go:111: ❌ Error monitoring page: invalid context
2025/11/29 17:56:44 scraper.go:111: ❌ Error monitoring page: invalid context
2025/11/29 17:56:44 scraper.go:111: ❌ Error monitoring page: invalid context
2025/11/29 17:56:44 scraper.go:111: ❌ Error monitoring page: invalid context
2025/11/29 17:56:44 scraper.go:111: ❌ Error monitoring page: invalid context
